DR_NO,Date Rptd,DATE OCC,TIME OCC,AREANAME,Rpt Dist No,crime type,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,Latitude,Longitude
201007149,3/12/2020 0:00,3/12/2020 0:00,230,West Valley,1005,intimate partner - simple assault,20,M,H,single family dwelling,strong-arm ,IC,Invest Cont,17800 saticoy st,,34.2147,-118.523
200913581,8/15/2020 0:00,8/14/2020 0:00,1330,Van Nuys,971,"theft-grand excpt,guns,fowl,livestk,prod",41,F,W,"porch, residential",,AA,Adult Arrest,15000 moorpark st,,34.1536,-118.4596
200915048,9/23/2020 0:00,9/22/2020 0:00,1700,Van Nuys,914,vehicle - stolen,0,,,street,,IC,Invest Cont,6900 vesper av,,34.1961,-118.451
200708776,5/1/2020 0:00,4/30/2020 0:00,1700,Wilshire,776,theft from motor vehicle - petty ,0,,,street,,IC,Invest Cont,4500 w 17th st,,34.0434,-118.3358
200516510,11/11/2020 0:00,11/11/2020 0:00,2045,Harbor,503,violation of restraining order,64,M,H,single family dwelling,,IC,Invest Cont,1000 254th st,,33.7938,-118.296
201107095,3/9/2020 0:00,3/9/2020 0:00,1320,Northeast,1162,robbery,0,X,X,bank,demand note,AA,Adult Arrest,1600 n vermont av,,34.1001,-118.2918
200413756,10/13/2020 0:00,10/13/2020 0:00,1230,Hollenbeck,422,battery - simple assault,33,F,H,other business,unknown weapon/other weapon,IC,Invest Cont,2600 n broadway,,34.0736,-118.2156
200608435,3/28/2020 0:00,3/28/2020 0:00,1500,Hollywood,632,"burglary, attempted",41,M,O,single family dwelling,,AO,Adult Other,1400 n kings rd,,34.0984,-118.3745
200605595,2/3/2020 0:00,2/3/2020 0:00,645,Hollywood,646,other miscellaneous crime,0,X,X,street,,IC,Invest Cont,vine,SUNSET,34.098,-118.3267
200811351,7/1/2020 0:00,5/24/2020 0:00,1800,West LA,822,"letters, lewd  -  telephone calls, lewd",27,F,W,single family dwelling,,IC,Invest Cont,17000 w sunset bl,,34.0416,-118.5498
201113741,9/18/2020 0:00,9/3/2020 0:00,829,Northeast,1162,"embezzlement, grand theft ",0,X,X,other business,,IC,Invest Cont,4500 w hollywood bl,,34.0984,-118.2874
200613028,7/24/2020 0:00,7/24/2020 0:00,1700,Hollywood,656,vandalism - felony ,0,X,X,street,unknown weapon/other weapon,AO,Adult Other,cole,SANTA FE,34.0889,-118.3277
201112665,8/20/2020 0:00,8/19/2020 0:00,1900,Northeast,1136,intimate partner - aggravated assault,35,F,H,yard ,unknown weapon/other weapon,IC,Invest Cont,800 n avenue 50,,34.118,-118.2184
