DR_NO,Date Rptd,DATE OCC,TIME OCC,AREANAME,Rpt Dist No,crime type,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,Latitude,Longitude
200608715,4/5/2020 0:00,4/4/2020 0:00,2030,Hollywood,627,trespassing,29,F,W,single family dwelling,,AA,Adult Arrest,2200 n beachwood dr,,34.1227,-118.3181
200812732,8/7/2020 0:00,8/7/2020 0:00,1900,West LA,898,intimate partner - simple assault,36,F,H,single family dwelling,unknown weapon/other weapon,AA,Adult Arrest,2400 s robertson bl,,34.0401,-118.3879
200311981,5/27/2020 0:00,5/27/2020 0:00,1530,Southwest,317,battery - simple assault,57,M,W,mta bus,strong-arm ,IC,Invest Cont,vermont av,EXPOSITION                   BL,34.0349,-118.2959
200918440,12/14/2020 0:00,12/12/2020 0:00,1425,Van Nuys,904,shoplifting - petty theft ,29,M,H,other store,,IC,Invest Cont,14900 raymer st,,34.2131,-118.4584
200805945,2/13/2020 0:00,2/4/2020 0:00,1200,West LA,811,"bunco, petty theft",48,F,O,single family dwelling,,IC,Invest Cont,200 bellino dr,,34.042,-118.5602
201109197,5/9/2020 0:00,5/4/2020 0:00,1800,Northeast,1136,vandalism - misdeameanor ,58,M,B,parking lot,,IC,Invest Cont,2400 eagle rock bl,,34.1225,-118.2238
200613986,8/15/2020 0:00,8/12/2020 0:00,2200,Hollywood,646,burglary from vehicle,56,M,H,street,,IC,Invest Cont,1500 schrader bl,,34.098,-118.3324
200817397,12/10/2020 0:00,12/10/2020 0:00,130,West LA,817,vandalism - felony ,0,X,X,restaurant/fast food,,AA,Adult Arrest,1100 westwood bl,,34.0596,-118.4446
201009840,6/10/2020 0:00,6/9/2020 0:00,1600,West Valley,1065,vehicle - stolen,0,,,street,,IC,Invest Cont,5400 yarmouth av,,34.1686,-118.5203
200616985,10/6/2020 0:00,10/6/2020 0:00,1445,Hollywood,666,"assault with deadly weapon, aggravated assault",86,F,W,street,hand gun,AA,Adult Arrest,lexington,SANTA MONICA,34.0944,-118.3277
200609159,4/16/2020 0:00,4/16/2020 0:00,1815,Hollywood,668,violation of restraining order,44,F,H,multi-unit dwelling ,,AA,Adult Arrest,5600 virginia av,,34.0918,-118.3119
201000983,11/22/2020 0:00,11/22/2020 0:00,1200,West Valley,1029,discharge firearms/shots fired,0,M,O,street,hand gun,IC,Invest Cont,6900 woodley av,,34.1961,-118.4837
201012821,9/6/2020 0:00,9/6/2020 0:00,1115,West Valley,1099,burglary,52,M,W,single family dwelling,,IC,Invest Cont,4000 sapphire dr,,34.1432,-118.4875
200311682,5/21/2020 0:00,5/21/2020 0:00,1330,Southwest,325,trespassing,26,M,B,multi-unit dwelling ,,AO,Adult Other,2700 menlo av,,34.0299,-118.2903
200904761,1/18/2020 0:00,1/17/2020 0:00,1900,Van Nuys,994,burglary,71,F,W,single family dwelling,,IC,Invest Cont,13400 cheltenham dr,,34.1399,-118.4244
200105995,1/30/2020 0:00,1/29/2020 0:00,1415,Central,155,"assault with deadly weapon, aggravated assault",40,M,B,sidewalk,stick,AA,Adult Arrest,5th,WALL                         ST,34.0449,-118.2458
200208302,3/27/2020 0:00,3/26/2020 0:00,2200,Rampart,247,vandalism - misdeameanor ,49,M,H,"vehicle, passenger/truck",,IC,Invest Cont,400 s burlington av,,34.0605,-118.2694
200407267,3/25/2020 0:00,3/25/2020 0:00,1710,Hollenbeck,448,vandalism - felony ,0,M,X,other business,unknown weapon/other weapon,IC,Invest Cont,1700 n indiana st,,34.0591,-118.1965
200617925,11/12/2020 0:00,11/11/2020 0:00,1700,Hollywood,615,vehicle - stolen,0,,,street,,IC,Invest Cont,3400 barham bl,,34.1333,-118.3438
201004952,1/23/2020 0:00,1/15/2020 0:00,1248,West Valley,1044,"letters, lewd  -  telephone calls, lewd",44,M,W,single family dwelling,verbal threat,AO,Adult Other,18300 collins st,,34.1749,-118.5308
200604013,1/1/2020 0:00,1/1/2020 0:00,100,Hollywood,667,robbery,55,M,B,sidewalk,strong-arm ,IC,Invest Cont,gower st,SUNSET                       BL,34.098,-118.3223
200120415,11/1/2020 0:00,1/1/2020 0:00,130,Central,157,robbery,55,M,O,sidewalk,strong-arm ,IC,Invest Cont,5th,TOWNE,34.043,-118.242
201406285,2/7/2020 0:00,2/2/2020 0:00,2030,Pacific,1453,"vehicle, stolen - other ",31,M,W,patio*,,IC,Invest Cont,4200 glencoe av,,33.9888,-118.4417
200715222,10/23/2020 0:00,10/23/2020 0:00,1310,Wilshire,701,"assault with deadly weapon, aggravated assault",36,F,W,street,unknown weapon/other weapon,AA,Adult Arrest,melrose,CURSON,34.0847,-118.3686
200614334,8/22/2020 0:00,8/22/2020 0:00,730,Hollywood,666,lewd conduct,44,F,W,street,,AA,Adult Arrest,cole pl,SUNSET                       BL,34.098,-118.3303
200705557,2/2/2020 0:00,2/2/2020 0:00,925,Wilshire,765,battery - simple assault,55,F,B,street,strong-arm ,IC,Invest Cont,san vicente bl,VENICE                       BL,34.047,-118.3367
200714063,9/19/2020 0:00,5/5/2020 0:00,1517,Wilshire,721,"theft-grand excpt,guns,fowl,livestk,prod",34,M,W,multi-unit dwelling ,,IC,Invest Cont,300 s willaman dr,,34.0728,-118.3806
200700675,4/25/2020 0:00,4/25/2020 0:00,2145,Wilshire,755,"assault with deadly weapon, aggravated assault",47,M,H,sidewalk,other knife,IC,Invest Cont,pico bl,MEADOWBROOK,34.0481,-118.3504
200405781,2/15/2020 0:00,1/10/2020 0:00,1130,Hollenbeck,462,burglary,52,F,H,public storage,,IC,Invest Cont,600 s boyle av,,34.0386,-118.2201
200206136,2/12/2020 0:00,2/12/2020 0:00,1300,Rampart,275,burglary from vehicle,27,M,W,street,,IC,Invest Cont,burlington,OLYMPIC,34.0503,-118.2765
201008100,4/17/2020 0:00,4/17/2020 0:00,35,West Valley,1039,violation of temporary restraining order,31,F,O,single family dwelling,,IC,Invest Cont,6400 densmore av,,34.1867,-118.4774
200106774,2/10/2020 0:00,2/10/2020 0:00,448,Central,163,vandalism - felony ,0,M,W,drug store,,IC,Invest Cont,200 w 7th st,,34.0445,-118.2523
200405700,2/13/2020 0:00,2/12/2020 0:00,830,Hollenbeck,455,theft plain - petty ,28,F,H,multi-unit dwelling ,,IC,Invest Cont,300 n breed st,,34.0473,-118.2089
200405281,2/3/2020 0:00,2/2/2020 0:00,2200,Hollenbeck,461,intimate partner - simple assault,25,F,H,single family dwelling,strong-arm ,AO,Adult Other,100 s clarence st,,34.0475,-118.2241
200306441,2/10/2020 0:00,2/10/2020 0:00,940,Southwest,356,vandalism - misdeameanor ,53,M,B,single family dwelling,,AO,Adult Other,1400 w 37th dr,,34.019,-118.3002
201715304,11/12/2020 0:00,11/12/2020 0:00,1635,Devonshire,1775,"assault with deadly weapon, aggravated assault",57,F,H,street,vehicle,AA,Adult Arrest,balboa,NORDHOFF,34.2357,-118.5025
200510835,6/20/2020 0:00,6/20/2020 0:00,2245,Harbor,555,violation of restraining order,68,F,H,single family dwelling,,IC,Invest Cont,300 n pacific av,,33.7483,-118.2931
201015682,12/2/2020 0:00,11/12/2020 0:00,1400,West Valley,1075,theft plain - petty ,37,M,W,condominium/townhouse,,IC,Invest Cont,lindley av,VENTURA                      BL,34.1654,-118.5272
200510515,6/10/2020 0:00,6/10/2020 0:00,2350,Harbor,523,vandalism - felony ,0,X,X,"vehicle, passenger/truck",,IC,Invest Cont,110 fy,CHANNEL,33.7613,-118.2819
201108103,4/7/2020 0:00,4/6/2020 0:00,1900,Northeast,1107,intimate partner - aggravated assault,24,F,H,single family dwelling,strong-arm ,AO,Adult Other,1400 n ave 56,,34.1278,-118.1929
201014958,11/11/2020 0:00,11/11/2020 0:00,1240,West Valley,1024,intimate partner - aggravated assault,38,F,H,single family dwelling,strong-arm ,AO,Adult Other,7000 crebs av,,34.1975,-118.5437
200107309,2/17/2020 0:00,2/14/2020 0:00,2000,Central,148,burglary,0,X,X,other premise,unknown weapon/other weapon,IC,Invest Cont,800 e 5th st,,34.0438,-118.2416
200606032,2/11/2020 0:00,2/11/2020 0:00,1845,Hollywood,637,vandalism - felony ,29,F,W,street,,IC,Invest Cont,yucca,ARGYLE,34.1037,-118.3252
200715770,11/9/2020 0:00,11/9/2020 0:00,30,Wilshire,721,battery - simple assault,57,F,W,parking lot,strong-arm ,IC,Invest Cont,8700 w beverly bl,,34.0768,-118.3806
200412998,9/21/2020 0:00,9/20/2020 0:00,1530,Hollenbeck,463,burglary,0,M,W,elementary school,,IC,Invest Cont,1900 e 2nd st,,34.045,-118.2165
200505632,2/9/2020 0:00,2/8/2020 0:00,2230,Harbor,558,battery - simple assault,18,M,H,multi-unit dwelling ,strong-arm ,AA,Adult Arrest,100 w santa cruz st,,33.7442,-118.2796
201114977,10/23/2020 0:00,10/22/2020 0:00,1920,Northeast,1178,vehicle - stolen,0,,,street,,IC,Invest Cont,800 cypress av,,34.0922,-118.2226
200610534,5/23/2020 0:00,4/1/2020 0:00,2100,Hollywood,663,theft of identity,0,M,B,multi-unit dwelling ,,AA,Adult Arrest,santa monica,LA BREA,34.0907,-118.3384
200104723,1/10/2020 0:00,1/10/2020 0:00,1030,Central,122,criminal threats - no weapon displayed,41,M,O,other premise,verbal threat,AO,Adult Other,100 n hill st,,34.0572,-118.2481
220705717,2/14/2022 0:00,12/19/2020 0:00,1320,Wilshire,765,dishonest employee - grand theft,20,M,B,single family dwelling,,IC,Invest Cont,1300 s rimpau bl,,34.0496,-118.3425
200517048,11/24/2020 0:00,11/18/2020 0:00,900,Harbor,532,vehicle - stolen,0,,,street,,IC,Invest Cont,1200 n neptune av,,33.7867,-118.2694
200106991,2/12/2020 0:00,2/12/2020 0:00,1110,Central,143,intimate partner - simple assault,30,F,B,sidewalk,strong-arm ,IC,Invest Cont,5th st,BROADWAY                     ST,34.0481,-118.2507
200107096,2/13/2020 0:00,2/13/2020 0:00,1100,Central,111,bike - stolen,42,M,H,balcony*,,IC,Invest Cont,800 new depot st,,34.0645,-118.2431
200106708,2/8/2020 0:00,2/6/2020 0:00,1610,Central,111,burglary,37,M,W,garage/carport,,IC,Invest Cont,600 n broadway,,34.0586,-118.2402
200505795,2/12/2020 0:00,2/12/2020 0:00,300,Harbor,528,criminal threats - no weapon displayed,59,M,H,single family dwelling,verbal threat,IC,Invest Cont,1500 e denni st,,33.7854,-118.245
201006821,3/4/2020 0:00,3/4/2020 0:00,1400,West Valley,1008,intimate partner - simple assault,32,F,W,parking lot,strong-arm ,IC,Invest Cont,6900 hayvenhurst av,,34.1957,-118.4924
200405809,2/16/2020 0:00,2/15/2020 0:00,1100,Hollenbeck,401,burglary from vehicle,50,F,H,parking lot,,IC,Invest Cont,4400 homer st,,34.0898,-118.2075
200912852,7/28/2020 0:00,7/10/2020 0:00,1430,Van Nuys,979,"theft-grand excpt,guns,fowl,livestk,prod",36,M,O,"porch, residential",,IC,Invest Cont,4500 longridge av,,34.1522,-118.4214
200609650,4/29/2020 0:00,4/29/2020 0:00,505,Hollywood,615,intimate partner - simple assault,46,M,W,single family dwelling,strong-arm ,AO,Adult Other,3100 la suvida dr,,34.1326,-118.341
201008137,4/17/2020 0:00,4/15/2020 0:00,900,West Valley,1034,vandalism - felony ,62,M,O,"vehicle, passenger/truck",,IC,Invest Cont,17800 erwin st,,34.1839,-118.5208
200515160,10/12/2020 0:00,10/12/2020 0:00,520,Harbor,529,intimate partner - simple assault,43,M,B,parking lot,strong-arm ,IC,Invest Cont,berth 202,BERTH 202,33.7753,-118.2456
200507514,3/23/2020 0:00,3/23/2020 0:00,1900,Harbor,551,vehicle - stolen,0,,,street,,IC,Invest Cont,1100 amar st,,33.7478,-118.302
211207833,2/25/2021 0:00,6/1/2020 0:00,1200,77th Street,1265,crm agnst chld  ,10,F,W,single family dwelling,strong-arm ,AA,Adult Arrest,1300 w manchester av,,33.96,-118.2986
200107267,2/16/2020 0:00,2/11/2020 0:00,1500,Central,156,"assault with deadly weapon, aggravated assault",57,M,B,sidewalk,stick,IC,Invest Cont,500 s san pedro st,,34.0437,-118.2455
200106812,2/10/2020 0:00,2/10/2020 0:00,920,Central,111,vandalism - felony ,48,M,H,parking lot,strong-arm ,AA,Adult Arrest,700 w cesar e chavez av,,34.0606,-118.2439
200817693,12/18/2020 0:00,12/18/2020 0:00,645,West LA,855,"theft-grand excpt,guns,fowl,livestk,prod",45,M,O,other business,,IC,Invest Cont,10900 santa monica bl,,34.0492,-118.4394
200506420,2/26/2020 0:00,2/26/2020 0:00,1300,Harbor,519,battery - simple assault,38,F,H,sidewalk,strong-arm ,IC,Invest Cont,blinn,CRUCES,33.7935,-118.2456
200109612,3/24/2020 0:00,3/19/2020 0:00,1200,Central,152,theft from motor vehicle - petty ,0,X,X,parking lot,,IC,Invest Cont,800 wilshire bl,,34.0494,-118.2581
211320720,12/22/2021 0:00,4/15/2020 0:00,800,Newton,1345,theft of identity,49,F,W,single family dwelling,,IC,Invest Cont,1200 e martin luther king jr bl,,34.0112,-118.2542
200306625,2/13/2020 0:00,2/13/2020 0:00,635,Southwest,316,burglary,36,F,H,multi-unit dwelling ,,IC,Invest Cont,1900 w 23rd st,,34.0355,-118.3041
200405739,2/15/2020 0:00,2/11/2020 0:00,1400,Hollenbeck,417,"theft-grand excpt,guns,fowl,livestk,prod",0,X,X,studio ,,IC,Invest Cont,2600 paradise dr,,34.0768,-118.1987
200612936,7/22/2020 0:00,7/20/2020 0:00,2020,Hollywood,628,theft plain - petty ,50,M,W,multi-unit dwelling ,,IC,Invest Cont,2100 n beachwood dr,,34.1088,-118.3215
200407698,4/9/2020 0:00,2/25/2020 0:00,1440,Hollenbeck,406,unauthorized computer access,27,M,O,other premise,,IC,Invest Cont,700 portola tr,,34.1003,-118.1835
201104441,1/11/2020 0:00,1/10/2020 0:00,1645,Northeast,1181,vandalism - misdeameanor ,0,X,X,street,,IC,Invest Cont,sunset bl,ALVARADO,34.0774,-118.265
200614155,8/18/2020 0:00,8/18/2020 0:00,2005,Hollywood,626,theft of identity,33,F,W,single family dwelling,,IC,Invest Cont,2400 holly dr,,34.1147,-118.3308
200109600,3/24/2020 0:00,3/20/2020 0:00,700,Central,156,theft plain - petty ,46,M,A,church/chapel ,,IC,Invest Cont,500 s san pedro st,,34.0437,-118.2455
200714202,9/24/2020 0:00,9/24/2020 0:00,504,Wilshire,765,robbery,48,M,O,mini-mart,strong-arm ,AO,Adult Other,1300 s la brea av,,34.0497,-118.3442
200104587,1/8/2020 0:00,1/8/2020 0:00,1930,Central,119,vandalism - felony ,48,M,H,street,,IC,Invest Cont,alameda,CESAR CHAVEZ,34.0581,-118.2371
200505693,2/10/2020 0:00,2/10/2020 0:00,923,Harbor,528,trespassing,62,M,W,mobile home/trailers/construction trailers/rv's/motorhome,,IC,Invest Cont,1000 mcfarland av,,33.7833,-118.2527
201010112,6/17/2020 0:00,6/17/2020 0:00,900,West Valley,1099,battery - simple assault,44,M,W,street,strong-arm ,AO,Adult Other,16000 valley wood rd,,34.1361,-118.4815
200106854,2/10/2020 0:00,2/10/2020 0:00,1630,Central,171,burglary from vehicle,20,M,H,street,,IC,Invest Cont,georgia st,OLYMPIC,34.0459,-118.2669
200612191,7/2/2020 0:00,6/1/2020 0:00,2315,Hollywood,622,theft of identity,40,M,O,single family dwelling,,IC,Invest Cont,2100 mt olympus dr,,34.1146,-118.3607
200505973,2/17/2020 0:00,2/17/2020 0:00,700,Harbor,551,vehicle - stolen,0,,,garage/carport,,IC,Invest Cont,1400 w sepulveda st,,33.7452,-118.3064
200919028,12/31/2020 0:00,12/30/2020 0:00,1115,Van Nuys,943,battery - simple assault,40,F,H,market,strong-arm ,AO,Adult Other,14400 burbank bl,,34.1721,-118.447
200405772,2/14/2020 0:00,2/14/2020 0:00,2330,Hollenbeck,489,intimate partner - simple assault,19,F,H,multi-unit dwelling ,strong-arm ,IC,Invest Cont,3000 rosalind pl,,34.024,-118.2126
201810020,4/23/2020 0:00,4/23/2020 0:00,1200,Southeast,1846,"assault with deadly weapon, aggravated assault",33,M,H,street,other knife,IC,Invest Cont,1500 e 115th st,,33.9303,-118.2487
200405766,2/14/2020 0:00,2/14/2020 0:00,5,Hollenbeck,418,vandalism - felony ,66,F,H,single family dwelling,,IC,Invest Cont,4600 harriman av,,34.0976,-118.1785
200713372,9/1/2020 0:00,7/30/2020 0:00,1300,Wilshire,702,vehicle - stolen,0,,,garage/carport,,IC,Invest Cont,900 n martel av,,34.0871,-118.3511
201112005,7/30/2020 0:00,7/28/2020 0:00,1830,Northeast,1179,vehicle - stolen,0,,,street,,IC,Invest Cont,100 w avenue 42,,34.0937,-118.2092
200707481,3/16/2020 0:00,3/15/2020 0:00,2120,Wilshire,767,"assault with deadly weapon, aggravated assault",32,M,H,street,hand gun,AA,Adult Arrest,norton,PICO,34.0475,-118.325
200106582,2/6/2020 0:00,1/10/2020 0:00,1500,Central,154,theft plain - petty ,61,F,B,multi-unit dwelling ,,IC,Invest Cont,500 s los angeles st,,34.046,-118.2493
200405780,2/15/2020 0:00,2/12/2020 0:00,2000,Hollenbeck,459,"bunco, grand theft",55,F,H,other premise,,IC,Invest Cont,3100 e cesar e chavez av,,34.045,-118.1956
200208011,3/20/2020 0:00,3/20/2020 0:00,1200,Rampart,246,robbery,65,M,H,sidewalk,strong-arm ,AA,Adult Arrest,wilshire bl,ALVARADO                     ST,34.058,-118.2759
200505749,2/11/2020 0:00,2/2/2020 0:00,1200,Harbor,521,theft of identity,41,M,W,multi-unit dwelling ,,IC,Invest Cont,28000 s western av,,33.7657,-118.3108
200504772,1/18/2020 0:00,1/18/2020 0:00,145,Harbor,563,burglary,39,M,W,multi-unit dwelling ,,IC,Invest Cont,1100 s meyler st,,33.7343,-118.2968
200808155,4/9/2020 0:00,4/9/2020 0:00,1915,West LA,884,vandalism - felony ,55,M,W,garage/carport,,IC,Invest Cont,2400 s sepulveda bl,,34.037,-118.4351
201112327,8/9/2020 0:00,8/9/2020 0:00,1745,Northeast,1162,criminal threats - no weapon displayed,23,F,O,street,verbal threat,AA,Adult Arrest,virgil,HOLLYWOOD,34.0947,-118.2877
200206301,2/16/2020 0:00,2/13/2020 0:00,115,Rampart,251,vehicle - stolen,0,,,garage/carport,,IC,Invest Cont,500 s rampart bl,,34.0636,-118.2805
201004654,1/16/2020 0:00,1/13/2020 0:00,1200,West Valley,1078,vandalism - felony ,44,M,W,"vehicle, passenger/truck",,AO,Adult Other,16100 ventura bl,,34.1613,-118.4917
200206328,2/16/2020 0:00,2/16/2020 0:00,2330,Rampart,216,failure to yield,0,X,X,street,,IC,Invest Cont,alvarado,SUNSET                       BL,34.0776,-118.2635
200609401,4/23/2020 0:00,4/20/2020 0:00,1500,Hollywood,622,burglary from vehicle,27,M,W,driveway,,IC,Invest Cont,7700 woodrow wilson dr,,34.1217,-118.364
200515524,10/20/2020 0:00,10/19/2020 0:00,2330,Harbor,509,vehicle - stolen,0,,,parking lot,,IC,Invest Cont,24200 frampton av,,33.8047,-118.2992
200106853,2/11/2020 0:00,2/10/2020 0:00,2230,Central,191,burglary from vehicle,21,F,H,street,,IC,Invest Cont,17th,FIGUEROA,34.0373,-118.2707
200206335,2/16/2020 0:00,2/16/2020 0:00,1940,Rampart,295,vandalism - misdeameanor ,19,F,H,"vehicle, passenger/truck",,IC,Invest Cont,union,VENICE,34.0416,-118.2791
201109458,5/18/2020 0:00,5/17/2020 0:00,1640,Northeast,1102,theft plain - petty ,0,X,X,membership store *,,IC,Invest Cont,2900 los feliz bl,,34.1367,-118.2713
201014430,10/25/2020 0:00,10/25/2020 0:00,2145,West Valley,1012,theft plain - petty ,47,M,O,other business,,IC,Invest Cont,18600 sherman wy,,34.2012,-118.5392
200505765,2/11/2020 0:00,2/11/2020 0:00,1200,Harbor,585,violation of court order,35,F,B,sidewalk,,IC,Invest Cont,2400 s leland st,,33.7225,-118.3012
200807041,3/6/2020 0:00,3/5/2020 0:00,800,West LA,838,intimate partner - aggravated assault,34,F,O,single family dwelling,strong-arm ,AA,Adult Arrest,700 levering av,,34.0657,-118.4505
200706880,3/2/2020 0:00,3/1/2020 0:00,2100,Wilshire,713,burglary from vehicle,27,M,W,street,,IC,Invest Cont,400 n stanley av,,34.0782,-118.3563
200409332,5/28/2020 0:00,5/28/2020 0:00,2325,Hollenbeck,459,intimate partner - simple assault,47,F,H,single family dwelling,strong-arm ,IC,Invest Cont,400 n bernal av,,34.0407,-118.1939
200517716,12/11/2020 0:00,12/11/2020 0:00,1510,Harbor,558,vandalism - felony ,48,F,H,"vehicle, passenger/truck",,AO,Adult Other,500 n centre st,,33.7469,-118.2835
200206614,2/21/2020 0:00,2/7/2020 0:00,1,Rampart,248,criminal threats - no weapon displayed,38,F,B,multi-unit dwelling ,verbal threat,AO,Adult Other,300 loma dr,,34.0599,-118.2655
200912291,7/13/2020 0:00,7/10/2020 0:00,800,Van Nuys,957,burglary,42,M,W,single family dwelling,,IC,Invest Cont,5200 costello av,,34.1649,-118.4377
200505850,2/13/2020 0:00,2/12/2020 0:00,2230,Harbor,528,vandalism - felony ,0,X,X,restaurant/fast food,,IC,Invest Cont,1100 e pacific coast hy,,33.7909,-118.2494
201109899,5/29/2020 0:00,5/29/2020 0:00,630,Northeast,1115,intimate partner - aggravated assault,19,F,W,hotel,strong-arm ,AA,Adult Arrest,2300 colorado bl,,34.1395,-118.2163
200813741,9/5/2020 0:00,9/4/2020 0:00,2250,West LA,832,criminal threats - no weapon displayed,26,F,W,driveway,verbal threat,AO,Adult Other,11800 mayfield av,,34.0493,-118.4666
200612088,7/1/2020 0:00,7/1/2020 0:00,2040,Hollywood,626,battery - simple assault,48,F,W,street,strong-arm ,IC,Invest Cont,cahuenga,DIX,34.1058,-118.3307
200100817,5/30/2020 0:00,5/29/2020 0:00,1230,Central,154,vandalism - felony ,0,M,W,"vehicle, passenger/truck",,IC,Invest Cont,100 w 5th st,,34.0467,-118.2485
200306068,2/4/2020 0:00,2/4/2020 0:00,1700,Southwest,397,vandalism - misdeameanor ,27,M,B,single family dwelling,,AO,Adult Other,1200 w 40th pl,,34.0099,-118.2959
200206325,2/16/2020 0:00,2/15/2020 0:00,1430,Rampart,285,"theft, person",69,M,H,sidewalk,strong-arm ,IC,Invest Cont,1800 w pico bl,,34.0472,-118.2782
200317054,9/8/2020 0:00,9/8/2020 0:00,600,Southwest,393,vandalism - misdeameanor ,63,M,B,"vehicle, passenger/truck",,IC,Invest Cont,4100 leimert bl,,34.01,-118.3241
200505058,1/25/2020 0:00,1/25/2020 0:00,1000,Harbor,504,shoplifting - petty theft ,0,M,O,other store,,AA,Adult Arrest,19500 normandie av,,33.8481,-118.3041
200106658,2/7/2020 0:00,2/7/2020 0:00,1830,Central,138,battery - simple assault,62,M,B,sidewalk,strong-arm ,IC,Invest Cont,300 e 4th st,,34.0468,-118.2415
200617057,10/23/2020 0:00,10/21/2020 0:00,2215,Hollywood,678,vandalism - felony ,0,X,X,other business,,AO,Adult Other,900 n western av,,34.0865,-118.3092
200205953,2/9/2020 0:00,2/9/2020 0:00,400,Rampart,235,intimate partner - simple assault,25,F,H,multi-unit dwelling ,strong-arm ,AO,Adult Other,200 n park view st,,34.0698,-118.273
200814169,9/16/2020 0:00,8/29/2020 0:00,1200,West LA,827,"theft-grand excpt,guns,fowl,livestk,prod",27,F,W,multi-unit dwelling ,,IC,Invest Cont,500 s barrington av,,34.0604,-118.4684
200817255,12/5/2020 0:00,11/13/2020 0:00,1300,West LA,849,criminal threats - no weapon displayed,35,M,B,multi-unit dwelling ,verbal threat,IC,Invest Cont,900 s sherbourne dr,,34.0594,-118.3793
200617086,10/23/2020 0:00,10/21/2020 0:00,800,Hollywood,667,burglary,26,M,W,multi-unit dwelling ,unknown weapon/other weapon,IC,Invest Cont,1100 n gower st,,34.0908,-118.3223
200512673,8/5/2020 0:00,8/5/2020 0:00,2250,Harbor,565,vehicle - stolen,0,,,street,,AO,Adult Other,800 s gaffey st,,33.7366,-118.2923
200405557,2/11/2020 0:00,2/6/2020 0:00,1800,Hollenbeck,426,vehicle - stolen,0,,,street,,IC,Invest Cont,5000 axtell st,,34.086,-118.1737
200207173,3/2/2020 0:00,3/2/2020 0:00,1935,Rampart,256,"assault with deadly weapon, aggravated assault",49,M,H,sidewalk,unknown weapon/other weapon,AA,Adult Arrest,1900 wilshire bl,,34.0569,-118.2736
200109444,3/20/2020 0:00,3/19/2020 0:00,1930,Central,156,criminal threats - no weapon displayed,28,F,B,sidewalk,verbal threat,IC,Invest Cont,500 san julian st,,34.0446,-118.245
200712361,8/3/2020 0:00,6/3/2020 0:00,700,Wilshire,736,burglary,51,F,O,multi-unit dwelling ,,IC,Invest Cont,400 s cochran av,,34.0649,-118.3472
200505877,2/14/2020 0:00,2/14/2020 0:00,930,Harbor,563,vandalism - misdeameanor ,73,M,H,"vehicle, passenger/truck",,IC,Invest Cont,1500 s pacific av,,33.7321,-118.295
200709125,5/11/2020 0:00,5/10/2020 0:00,2030,Wilshire,758,burglary,19,M,O,other business,,IC,Invest Cont,4400 w pico bl,,34.0519,-118.3306
200600548,1/18/2020 0:00,1/18/2020 0:00,1300,Hollywood,645,"assault with deadly weapon, aggravated assault",30,M,B,multi-unit dwelling ,hand gun,AA,Adult Arrest,1600 n la brea av,,34.0998,-118.3447
200306427,2/10/2020 0:00,2/10/2020 0:00,1100,Southwest,373,theft plain - petty ,45,F,H,other store,,IC,Invest Cont,crenshaw bl,COLISEUM                     ST,34.0182,-118.3349
200616962,10/20/2020 0:00,10/20/2020 0:00,1520,Hollywood,666,lynching - attempted,0,X,X,street,strong-arm ,IC,Invest Cont,la mirada,VINE,34.0935,-118.3266
200107165,2/14/2020 0:00,2/14/2020 0:00,1430,Central,118,burglary from vehicle,68,M,O,street,,IC,Invest Cont,1200 n spring st,,34.0635,-118.2356
200505647,2/9/2020 0:00,2/8/2020 0:00,2330,Harbor,517,vandalism - felony ,39,M,H,single family dwelling,,IC,Invest Cont,1100 n avalon bl,,33.7848,-118.2628
200112356,5/30/2020 0:00,5/30/2020 0:00,55,Central,153,burglary,0,M,W,other store,,IC,Invest Cont,500 s broadway,,34.0481,-118.2507
200100599,2/10/2020 0:00,2/10/2020 0:00,1555,Central,161,battery - simple assault,22,F,O,sidewalk,strong-arm ,IC,Invest Cont,7th,FIGUEROA,34.0499,-118.2614
201107566,3/21/2020 0:00,3/17/2020 0:00,1750,Northeast,1177,theft plain - petty ,0,X,X,other business,,AA,Adult Arrest,2000 n figueroa st,,34.0884,-118.2258
200917619,11/23/2020 0:00,11/19/2020 0:00,1500,Van Nuys,909,"sex,unlawful(inc mutual consent, penetration w/ frgn obj",14,M,H,multi-unit dwelling ,,IC,Invest Cont,13800 sherman wy,,34.205,-118.4339
200713325,8/30/2020 0:00,8/30/2020 0:00,515,Wilshire,774,battery - simple assault,26,F,B,sidewalk,strong-arm ,AO,Adult Other,1800 alsace av,,34.0416,-118.3516
200509240,5/9/2020 0:00,5/9/2020 0:00,1030,Harbor,563,battery - simple assault,20,F,H,multi-unit dwelling ,strong-arm ,AO,Adult Other,600 w 15th st,,33.7306,-118.2906
200106928,2/11/2020 0:00,2/10/2020 0:00,1730,Central,153,theft of identity,62,M,W,single family dwelling,,IC,Invest Cont,200 w 6th st,,34.046,-118.2509
200500528,1/20/2020 0:00,1/20/2020 0:00,1520,Harbor,529,brandish weapon,33,M,O,other business,air pistol/revolver/rifle/bb gun,AO,Adult Other,1900 e i st,,33.7824,-118.2389
200405653,2/12/2020 0:00,2/11/2020 0:00,1730,Hollenbeck,442,criminal threats - no weapon displayed,51,F,H,single family dwelling,verbal threat,IC,Invest Cont,1000 clement st,,34.057,-118.2118
